URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100495,St Clement and St James CofE Primary School,Kensington and Chelsea,38.8,4.4,51.509072,-0.211367
100496,St Joseph's Catholic Primary School,Lewisham,40,3.9,51.408685,-0.294968
100497,St Mary Abbots CofE Primary School,Kensington and Chelsea,55.2,2.9,51.501912,-0.191879
100498,St Cuthbert with St Matthias CofE Primary School,Kensington and Chelsea,52.2,4.7,51.48944,-0.193655
100500,Servite RC Primary School,Kensington and Chelsea,51.8,3.5,51.485032,-0.18307
100502,Saint Thomas More Language College,Kensington and Chelsea,43.5,4.7,51.492898,-0.162172
100504,Our Lady of Victories RC Primary School,Kensington and Chelsea,49.5,2.5,51.492835,-0.179461
100556,Ashmole Primary School,Lambeth,47,3.8,51.628898,-0.136973
100560,Clapham Manor Primary School,Lambeth,38.1,3.5,51.46463,-0.137941
100564,Granton Primary School,Lambeth,35.8,4.8,51.414206,-0.14173
100566,Heathbrook Primary School,Lambeth,40.5,5.6,51.470119,-0.143149
100567,Henry Cavendish Primary School,Lambeth,37.1,3.6,51.444744,-0.142808
100572,Jessop Primary School,Lambeth,38.1,4.7,51.460033,-0.101362
100574,Kingswood Primary School,Lambeth,35.4,3.7,51.426891,-0.090078
100576,Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),Lambeth,39,6.3,51.470667,-0.129563
100577,Paxton Primary School,Lambeth,33.5,2.7,51.422307,-0.080862
100578,Richard Atkins Primary School,Lambeth,39.3,4,51.448089,-0.126957
100582,Stockwell Primary School,Lambeth,42.6,3.8,51.466433,-0.117351
100584,Sudbourne Primary School,Lambeth,42.8,3.5,51.458088,-0.120761
100585,Sunnyhill Primary School,Lambeth,37.9,4,51.429319,-0.122315
100586,Telferscot Primary School,Lambeth,36.7,4,51.44273,-0.137767
100588,Vauxhall Primary School,Lambeth,42.3,3.6,51.489561,-0.117335
100589,Walnut Tree Walk Primary School,Lambeth,43.2,4.8,51.49395,-0.113369
100593,Crown Lane Primary School,Lambeth,36.6,4.1,51.423431,-0.109022
100595,Fenstanton Primary School,Lambeth,38.5,5.2,51.442246,-0.113655
100597,Elm Wood School,Lambeth,33.4,3.2,51.431687,-0.092467
100598,Allen Edwards Primary School,Lambeth,39.4,4,51.472396,-0.127559
100601,Glenbrook Primary School,Lambeth,37.4,3.5,51.453001,-0.132153
100602,Julian's School,Lambeth,36.5,2.8,51.430848,-0.105593
100604,Herbert Morrison Primary School,Lambeth,40.3,4.1,51.478655,-0.125892
100608,Streatham Wells Primary School,Lambeth,34.9,3.5,51.440221,-0.116343
